Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.049000,46.468000,0.000000,top
"C2","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.226000,46.849000,0.000000,top
"C3","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.060000,47.000000,90.000000,top
"FPC1","Connector_Conn_01x40_Female","JUSHUO-AFC07-S40ECC-00_40P_05mm_flipped",51.300000,28.900000,90.000000,top
"FPC2","FPC connector, 6 pins, 0.5mm, BOTTOM contacts","JUSHUO-AFC01-S06FCC-00_6p_05mm",72.680000,35.930000,90.000000,top
"Q1","AO3400A ","SOT-23",42.964000,8.622000,90.000000,top
"R1","8R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.424000,13.448000,90.000000,top
"R2","8R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.964000,13.448000,90.000000,top
"R3","8R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",45.504000,13.448000,90.000000,top
"R4","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.310000,4.525000,90.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder_no_3d",49.560000,4.525000,90.000000,top
